Number of individuals;String cleaning time
301;1.0939002095256e-05
302;2.0211002265568823e-05
303;1.456099926144816e-05
304;2.237600347143598e-05
305;1.1935000657103956e-05
306;1.110800076276064e-05
307;1.1577001714613289e-05
308;1.145399801316671e-05
309;1.1252999684074894e-05
310;1.089499710360542e-05
311;1.1330001143505797e-05
312;1.0550000297371298e-05
313;1.170000177808106e-05
314;1.0273997759213671e-05
315;1.0826002835528925e-05
316;1.0031002602772787e-05
317;1.1411000741645694e-05
318;1.1670999811030924e-05
319;1.0873001883737743e-05
320;1.107500065700151e-05
321;1.0912001016549766e-05
322;1.0456999007146806e-05
323;1.0552001185715199e-05
324;1.0564999683992937e-05
325;1.0615000064717606e-05
326;1.0744999599410221e-05
327;9.938001312548295e-06
328;1.0060997738037258e-05
329;1.0944000678136945e-05
330;1.105499904952012e-05
331;1.037900074152276e-05
332;1.1743999493774027e-05
333;1.1118001566501334e-05
334;1.0231000487692654e-05
335;1.0611998732201755e-05
336;1.1241001629969105e-05
337;1.0895000741584226e-05
338;1.1181000445503742e-05
339;1.1020001693395898e-05
340;1.095200059353374e-05
341;1.1298001481918618e-05
342;1.0821997420862317e-05
343;1.164499917649664e-05
344;1.111400342779234e-05
345;1.1178999557159841e-05
346;1.0828000085894018e-05
347;1.0714000381994992e-05
348;9.714000043459237e-06
349;1.0494997695786878e-05
350;1.8252001609653234e-05
351;1.0136001947103068e-05
352;1.0592000762699172e-05
353;1.1361997167114168e-05
354;1.1673000699374825e-05
355;1.126700226450339e-05
356;1.0884999937843531e-05
357;1.042999792844057e-05
358;1.0988998838001862e-05
359;1.0456999007146806e-05
360;1.106999843614176e-05
361;1.12510024337098e-05
362;1.1006999557139352e-05
363;1.0648000170476735e-05
364;1.129599695559591e-05
365;1.1142001312691718e-05
366;1.0339001164538786e-05
367;1.13159985630773e-05
368;1.0588002623990178e-05
369;1.164900095318444e-05
370;1.1239000741625205e-05
371;1.2104999768780544e-05
372;1.0359002772020176e-05
373;1.1001000530086458e-05
374;1.0820000170497224e-05
375;1.0697000107029453e-05
376;2.3231998056871817e-05
377;1.643900031922385e-05
378;1.424799847882241e-05
379;1.3707001926377416e-05
380;1.631800114409998e-05
381;2.1528001525439322e-05
382;1.2871001672465354e-05
383;1.3043001672485843e-05
384;1.3477001630235463e-05
385;1.2557997251860797e-05
386;1.1461001122370362e-05
387;1.2479998986236751e-05
388;1.280599826714024e-05
389;1.2702999811153859e-05
390;1.2405002053128555e-05
391;1.2858003174187616e-05
392;1.2581000191858038e-05
393;2.0938998204655945e-05
394;1.2887998309452087e-05
