Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Initial execution	17,18632535	47757	
50,89048557	0,092430082	0,064341462	58627				
51,10111511	0,077726818	0,068229281	58671				
51,35581237	0,091286343	0,070307	58715				
51,57018953	0,082362637	0,067605048	58756				
51,77424924	0,076344668	0,0668752	58796				
51,978539	0,074783569	0,063362951	58836				
52,18345406	0,073484284	0,064675918	58881				
52,39614149	0,076617252	0,066219369	58921				
52,6121914	0,079178369	0,065426061	58962				
52,81794989	0,075355536	0,064539126	58999				
53,03943176	0,086973006	0,066564538	59040				
53,25664983	0,089267968	0,064112599	59081				
53,46558374	0,07712707	0,064517681	59126				
53,67304361	0,072577311	0,072676903	59170				
53,88265191	0,075651627	0,064585175	59211				
54,12673741	0,104652766	0,072830501	59251				
54,32059816	0,072278992	0,061778235	59291				
54,52477449	0,071736277	0,066958629	59332				
54,72246198	0,070609616	0,063348347	59373				
54,93980017	0,082821903	0,07350345	59417				
55,15669272	0,074466248	0,062479764	59458				
55,36282025	0,072294585	0,065110072	59502				
55,58688407	0,094905481	0,064347237	59543				
55,79759928	0,081530649	0,067562305	59584				
55,99997667	0,073849453	0,06452611	59625				
56,20236046	0,072211963	0,067502948	59669				
56,41857801	0,079214726	0,068406501	59713				
56,65717528	0,10210009	0,073416342	59754				
56,86367082	0,076999172	0,066021129	59798				
57,06707987	0,069953383	0,063964577	59842				
57,26447211	0,06991211	0,062308545	59886				
57,46745998	0,080280038	0,063788861	59927				
57,69997112	0,089292662	0,070455398	59972				
57,96391827	0,12441492	0,068680946	60013				
58,20379592	0,096490447	0,064303025	60050				
58,40875127	0,0761383	0,065860295	60094				
58,62481754	0,083620092	0,070912948	60138				
58,85178738	0,093863468	0,062799903	60179				
59,06689931	0,08229207	0,072943776	60220				
59,28852779	0,087006577	0,066761138	60261				
59,50728012	0,090738342	0,063748901	60309				
59,76232419	0,115144546	0,071777391	60349				
60,01899177	0,108335387	0,067652384	60390				
60,23832505	0,079471438	0,059255127	60431				
60,45346116	0,085428198	0,066904004	60472				
60,65850072	0,077668469	0,063589124	60508				
60,8583767	0,074637939	0,062785122	60549				
61,06274308	0,071230447	0,066316318	60594				
61,26947692	0,080502586	0,06433172	60635				
61,47130555	0,074206232	0,06310544	60676				
61,72192539	0,081771815	0,075239498	60717				
61,92835082	0,074591926	0,066329434	60761				
62,13910454	0,084387544	0,062729778	60797				
62,34317172	0,079618014	0,06198336	60834				
62,55550718	0,080801173	0,069074998	60875				
62,76795255	0,086595959	0,062567725	60911				
62,99033871	0,081427009	0,065565553	60952				
63,19769368	0,073133522	0,063772525	60988				
63,40003995	0,075991283	0,064947652	61029				
63,60118751	0,075639348	0,061405165	61065				
63,81507469	0,085357422	0,065476827	61106				
64,01425428	0,07305512	0,06385631	61150				
64,24623057	0,102461223	0,067839866	61191				
64,49977125	0,101786399	0,068200639	61239				
64,72381725	0,080700611	0,071091276	61283				
64,98513404	0,118289577	0,079584212	61324				
65,20759168	0,092811846	0,066292015	61369				
65,4118883	0,071005793	0,065612649	61410				
65,61493615	0,073658645	0,067307207	61454				
65,84219264	0,084657899	0,065645512	61498				
66,05505503	0,081029255	0,068131628	61539				
66,2694918	0,08396559	0,067176861	61580				
66,48603844	0,077786059	0,071170934	61628				
66,70728987	0,089174676	0,06741095	61672				
66,92297373	0,075885602	0,066490376	61713				
67,13378945	0,079276195	0,065601627	61753				
67,34892128	0,082364436	0,0688016	61793				
67,56196376	0,085598788	0,065452323	61837				
67,77754143	0,084338945	0,065685626	61877				
67,98901394	0,077325867	0,070473179	61925				
68,20396182	0,073931414	0,073008973	61965				
68,41297146	0,077736574	0,06506602	62006				
68,63611248	0,093700916	0,06482123	62050				
68,85629412	0,087278968	0,065373625	62087				
69,07186018	0,080532374	0,071588488	62132				
69,28879836	0,085954597	0,069239568	62177				
69,51393141	0,083839773	0,069157002	62218				
69,74864342	0,091470452	0,076242718	62259				
70,10692863	0,226836106	0,066321258	62300				
70,34709057	0,10580412	0,068622713	62341				
70,56787749	0,084773879	0,069585042	62382				
70,80637968	0,096604327	0,073190798	62427				
71,03172252	0,097079512	0,062919106	62467				
71,28995084	0,120462068	0,062743713	62508				
71,51315797	0,097026731	0,06396934	62552				
71,74774004	0,109303148	0,063160173	62592				
71,96607567	0,079734374	0,064603972	62637				
72,18862308	0,088733111	0,06540361	62681				
72,40715485	0,085011542	0,067022951	62722				
72,61536508	0,074805314	0,062658581	62766				
72,85743822	0,105541857	0,072794051	62810				
73,09469532	0,098467737	0,065887166	62854				
73,31024023	0,08052065	0,065652718	62898				
73,51080144	0,072336934	0,064097769	62939				
73,72866968	0,082191127	0,072086175	62983				
73,94857913	0,078346557	0,074303402	63024				
74,21411751	0,109400763	0,066542518	63065				
74,44932933	0,087902297	0,0674681	63109				
74,67677746	0,082684271	0,062633468	63150				
74,89409691	0,07258179	0,079745253	63194				
75,09730965	0,078593341	0,063459077	63239				
75,31257291	0,08897106	0,062404178	63284				
75,52062015	0,079202986	0,067601853	63325				
75,71662117	0,071464592	0,06195236	63362				
75,94356951	0,088225238	0,06866087	63402				
76,17436149	0,103899983	0,064894103	63447				
76,38875685	0,084753292	0,064429327	63488				
76,60073921	0,079202217	0,066267561	63532				
76,80301168	0,076658317	0,061613661	63573				
77,01093807	0,074048917	0,068931699	63614				
77,22558795	0,071645853	0,068520149	63658				
77,43292742	0,075885795	0,067035533	63703				
77,65715709	0,094876841	0,067932525	63744				
77,86274576	0,078473309	0,062907458	63789				
78,06720425	0,077968949	0,063560669	63830				
78,28990372	0,10015132	0,060525846	63874				
78,50506511	0,089202164	0,059598087	63911				
78,74336299	0,099182095	0,063536788	63952				
78,95748143	0,087651255	0,064770762	63993				
79,18631259	0,074429198	0,076038533	64033				
79,39309471	0,07580857	0,061141702	64070				
79,60387223	0,071552966	0,073618185	64107				
79,82406821	0,085423069	0,072771202	64147				
80,0539786	0,090555822	0,067506236	64191				
80,26593232	0,080341805	0,064244656	64235				
80,48289493	0,073075048	0,068188849	64276				
80,69394798	0,079680193	0,065890639	64324				
80,90095877	0,080756073	0,062118082	64365				
81,13647697	0,104394855	0,063672751	64410				
