Number of individuals;String cleaning time
258;9.864001185633242e-06
259;1.0137999197468162e-05
260;9.611001587472856e-06
261;9.522998880129308e-06
262;9.18099976843223e-06
263;9.47900116443634e-06
264;9.650997526478022e-06
265;9.627998224459589e-06
266;9.34300260269083e-06
267;9.00499799172394e-06
268;1.0141000529984012e-05
269;9.102001058636233e-06
270;9.040002623805776e-06
271;9.544997737975791e-06
272;1.0746000043582171e-05
273;9.18400110094808e-06
274;9.404000593349338e-06
275;9.062998287845403e-06
276;9.652998414821923e-06
277;9.502000466454774e-06
278;8.773997251410037e-06
279;9.915998816723004e-06
280;8.737999451113865e-06
281;9.413000952918082e-06
282;9.122002666117623e-06
283;1.0073999874293804e-05
284;9.505998605163768e-06
285;1.0120002116309479e-05
286;9.606999810785055e-06
287;9.057999704964459e-06
288;8.926999726099893e-06
289;9.448998753214255e-06
290;9.072002285392955e-06
291;9.835999662755057e-06
292;9.587001841282472e-06
293;8.932998753152788e-06
294;9.33800038183108e-06
295;9.331000910606235e-06
296;1.020800118567422e-05
297;8.918999810703099e-06
298;9.870000212686136e-06
299;9.723000403027982e-06
300;9.677001798991114e-06
301;9.981999028241262e-06
302;9.47499938774854e-06
303;1.0384999768575653e-05
304;9.647999831940979e-06
305;9.232000593328848e-06
306;9.488001524005085e-06
307;1.650800186325796e-05
308;1.0593998013064265e-05
309;9.610001143300906e-06
310;9.20200182008557e-06
311;9.720999514684081e-06
312;9.130999387707561e-06
313;1.010500272968784e-05
314;8.78500213730149e-06
315;9.496998245595023e-06
316;9.056002454599366e-06
317;9.280000085709617e-06
318;1.041099676513113e-05
319;9.456001862417907e-06
320;9.617997420718893e-06
321;9.619998309062794e-06
322;8.996001270134002e-06
323;8.991999493446201e-06
324;9.208997653331608e-06
325;9.139999747276306e-06
326;9.267998393625021e-06
327;8.707000233698636e-06
328;8.74599936651066e-06
329;9.919000149238855e-06
330;9.59499811870046e-06
331;9.119998139794916e-06
332;9.732000762596726e-06
333;9.721999958856031e-06
334;8.822997187962756e-06
335;9.59799945121631e-06
336;9.575000149197876e-06
337;9.47900116443634e-06
338;1.0304000170435756e-05
339;9.763996786205098e-06
340;9.551997209200636e-06
341;9.783998393686488e-06
342;9.381001291330904e-06
343;1.0004998330259696e-05
344;9.554001735523343e-06
345;1.0544001270318404e-05
346;9.507999493507668e-06
347;9.392002539243549e-06
348;8.71299926075153e-06
349;9.297000360675156e-06
350;9.488998330198228e-06
351;8.74699981068261e-06
352;9.63099955697544e-06
353;9.794999641599134e-06
354;1.0277999535901472e-05
355;9.827999747358263e-06
356;9.660001524025574e-06
357;9.35900243348442e-06
358;1.0244999430142343e-05
359;9.142000635620207e-06
360;9.667997801443562e-06
361;9.691000741440803e-06
362;9.578001481713727e-06
363;9.387997124576941e-06
364;9.901999874273315e-06
365;9.816998499445617e-06
366;9.02600004337728e-06
367;9.969997336156666e-06
368;9.246003173757344e-06
369;9.542000043438748e-06
370;9.826999303186312e-06
371;1.0530999134061858e-05
372;9.100000170292333e-06
373;1.0142000974155962e-05
374;9.33900082600303e-06
375;9.280000085709617e-06
376;1.0211002518190071e-05
377;1.0237999958917499e-05
378;9.943003533408046e-06
379;1.07790001493413e-05
380;1.1987001926172525e-05
381;1.017199974739924e-05
382;1.6114001482492313e-05
383;1.0268999176332727e-05
384;9.783001587493345e-06
385;9.670999133959413e-06
386;8.916998922359198e-06
387;9.784002031665295e-06
388;9.909002983476967e-06
389;9.585000952938572e-06
390;9.914998372551054e-06
391;1.2295000487938523e-05
392;9.934003173839301e-06
393;1.0146999557036906e-05
394;9.963998309103772e-06
395;9.471001249039546e-06
396;9.235001925844699e-06
397;9.971998224500567e-06
398;9.504998160991818e-06
399;1.0265997843816876e-05
400;9.299001249019057e-06
401;9.987998055294156e-06
402;9.972001862479374e-06
403;1.0037998436018825e-05
404;9.864997991826385e-06
405;9.866002073977143e-06
406;8.774000889388844e-06
407;1.0149000445380807e-05
408;1.0252002539345995e-05
409;1.022300057229586e-05
410;9.510000381851569e-06
411;9.398001566296443e-06
412;1.35750015033409e-05
413;1.4021999959368259e-05
414;9.511000826023519e-06
415;9.79300239123404e-06
416;9.934999980032444e-06
417;1.06229999801144e-05
418;1.0493000445421785e-05
419;1.0153999028261751e-05
420;1.572800101712346e-05
421;1.4375000318977982e-05
422;1.0668998584151268e-05
423;1.4446999557549134e-05
424;1.072399754775688e-05
425;1.3873999705538154e-05
426;1.622599666006863e-05
427;1.534600232844241e-05
428;1.3914999726694077e-05
429;1.550000160932541e-05
430;1.551499735796824e-05
431;1.5669000276830047e-05
432;1.4765999367227778e-05
433;1.5860001440159976e-05
434;9.950999810826033e-06
435;1.7229998775292188e-05
436;1.7875001503853127e-05
437;1.6344001778634265e-05
438;1.7264999769395217e-05
439;1.6788999346317723e-05
440;1.851399792940356e-05
441;1.776999852154404e-05
442;1.5119003364816308e-05
443;1.1569001799216494e-05
444;1.0318999557057396e-05
445;1.07749983726535e-05
446;9.348997991764918e-06
447;1.0432002454763278e-05
448;1.0122999810846522e-05
449;9.938998118741438e-06
450;8.704999345354736e-06
451;9.556002623867244e-06
452;9.925999620463699e-06
453;9.89600084722042e-06
454;9.433999366592616e-06
455;1.055500251823105e-05
456;9.881998266791925e-06
457;8.697999874129891e-06
458;3.3697000617394224e-05
459;1.0315998224541545e-05
460;8.736999006941915e-06
461;1.0618001397233456e-05
462;9.494997357251123e-06
463;9.446001058677211e-06
464;9.870000212686136e-06
465;9.577001037541777e-06
466;9.35600110096857e-06
467;9.682000381872058e-06
468;9.91100023384206e-06
469;9.144001523964107e-06
470;9.346997103421018e-06
471;9.385999874211848e-06
472;8.707000233698636e-06
473;9.28599911276251e-06
474;9.094001143239439e-06
475;8.857001375872642e-06
476;9.294002666138113e-06
477;9.322997357230633e-06
478;9.400002454640344e-06
479;9.514998964732513e-06
