Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers
40,67	5,95E-02	6,60E-02	36659
40,84	5,83E-02	6,23E-02	36707
40,99	5,61E-02	5,36E-02	36743
41,15	5,76E-02	5,84E-02	36787
41,31	5,45E-02	5,70E-02	36835
41,46	5,50E-02	5,51E-02	36879
41,63	5,70E-02	5,91E-02	36923
41,82	7,05E-02	7,42E-02	36964
42,00	5,49E-02	7,20E-02	37004
42,17	6,99E-02	6,36E-02	37052
42,34	5,39E-02	6,42E-02	37096
42,50	5,34E-02	6,33E-02	37140
42,66	5,24E-02	6,14E-02	37188
42,85	8,26E-02	6,89E-02	37236
43,04	7,07E-02	6,22E-02	37284
43,23	7,74E-02	5,85E-02	37332
43,41	5,55E-02	6,91E-02	37377
43,56	5,45E-02	5,69E-02	37421
43,71	5,07E-02	5,39E-02	37462
43,91	9,20E-02	5,74E-02	37506
1,12E-01			
8,74E-02			
9,28E-02			
9,24E-02			
8,85E-02			
