Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers				
248,6687462	0,082821097	0,075681292	248000				
248,9341517	0,081674082	0,061374339	248040				
249,2046091	0,084311054	0,055342334	248076				
249,4720455	0,083281526	0,062042006	248112				
249,7575987	0,095259882	0,063022655	248153				
250,0378778	0,081749014	0,067643761	248193				
250,3015377	0,0820259	0,058456045	248230				
250,5694809	0,08541555	0,057140118	248267				
250,8416187	0,088146147	0,061238528	248303				
251,1093232	0,080557196	0,058258587	248344				
251,3782781	0,083247958	0,060296117	248384				
251,6412239	0,080482228	0,057594402	248424				
251,9493372	0,08314613	0,101231466	248460				
252,2085285	0,081360535	0,054528188	248500				
252,4711334	0,081240641	0,056931035	248537				
252,7428736	0,082305833	0,061102465	248577				
253,0322553	0,100861818	0,063162152	248613				
253,3055115	0,082971758	0,062912083	248650				
253,5801958	0,085933687	0,06776373	248687				
253,8537219	0,084415514	0,064381667	248727				
254,1429306	0,090363047	0,062314342	248767				
254,4203427	0,095683785	0,05814401	248804				
254,6822224	0,082617202	0,054312905	248841				
254,9562075	0,081196552	0,069108664	248882				
255,2166131	0,081534427	0,054903455	248918				
255,4797067	0,083255621	0,055370362	248959				
255,7437729	0,080740771	0,059246941	248996				
256,0151895	0,08395711	0,054731138	249032				
256,2835644	0,085314757	0,058227316	249069				
256,5527366	0,088408584	0,059699798	249109				
256,8150496	0,08537213	0,052784229	249145				
257,0914666	0,088009425	0,061113314	249181				
257,3592623	0,08002871	0,063149754	249222				
257,6510634	0,094496974	0,066236033	249262				
257,9205153	0,086265661	0,058555505	249299				
258,1837247	0,082118813	0,059656119	249340				
258,4541397	0,084572591	0,060336425	249380				
258,7228823	0,080863844	0,063286827	249416				
258,9928194	0,082727868	0,064298647	249456				
259,2612478	0,088687452	0,052686181	249493				
259,5486452	0,093251916	0,065768183	249534				
259,8153613	0,085759328	0,057526756	249570				
260,0882659	0,082626133	0,061445683	249611				
260,3656734	0,089376643	0,058212553	249652				
260,6324839	0,086488725	0,054671118	249688				
260,9160617	0,097957227	0,059987518	249728				
261,1853269	0,082016139	0,056550289	249769				
261,448359	0,080735273	0,05949763	249809				
261,7229498	0,087281159	0,058564419	249845				
261,9959126	0,081741376	0,062607924	249881				
262,2808717	0,084506735	0,069228528	249922				
262,6553037	0,083814188	0,166877731	249962				
262,9565258	0,089185331	0,083513844	250002				
263,2266971	0,083762549	0,058228804	250038				
263,5154757	0,106465193	0,055080517	250075				
263,7840641	0,08275387	0,057573572	250116				
264,0599674	0,083316369	0,055999771	250152				
264,3329371	0,082456025	0,058110197	250193				
264,5912159	0,081693427	0,054600642	250233				
264,8844357	0,104691646	0,064842315	250269				
265,1511917	0,081994975	0,05687422	250305				
265,4145147	0,082077864	0,055793398	250345				
265,6735268	0,081437662	0,056297136	250385				
265,9615743	0,097230787	0,065103507	250426				
266,2308342	0,082403832	0,058153473	250466				
266,5044614	0,082318598	0,067901359	250502				
266,7735116	0,084480131	0,06085889	250538				
267,0490497	0,089128769	0,059764268	250579				
267,3246619	0,090810113	0,057128855	250619				
267,5920787	0,081899873	0,062038378	250655				
267,8838415	0,094172035	0,074807233	250695				
268,1530568	0,084109137	0,059372611	250735				
268,4215981	0,085234467	0,053541262	250772				
268,6814652	0,083226568	0,054234178	250812				
268,9586229	0,085761132	0,065062975	250852				
269,2265926	0,08279568	0,060564395	250889				
269,4953368	0,080692353	0,064435966	250925				
269,784285	0,089060625	0,063995126	250962				
270,0577781	0,088959195	0,05795638	250998				
270,3317385	0,084973087	0,062063557	251034				
270,6053895	0,084240305	0,06198966	251074				
270,8827318	0,094147107	0,059303696	251110				
271,1678715	0,085367224	0,070448713	251151				
271,4404757	0,080893657	0,066761675	251187				
271,7116703	0,086464148	0,060643488	251224				
271,9918601	0,084877241	0,067684317	251264				
272,2566892	0,084122865	0,053686962	251300				
272,5175523	0,080123422	0,054207715	251336				
272,7998349	0,100480624	0,058858208	251376				
273,0727489	0,079106497	0,065280149	251417				
273,3338466	0,083622083	0,053885577	251454				
273,6040496	0,082101134	0,061470955	251495				
273,8872037	0,09274432	0,065131372	251536				
274,1620673	0,082653543	0,058392868	251572				
274,4308633	0,08468706	0,0580891	251608				
274,7201064	0,089879259	0,074151205	251645				
275,0399637	0,131261741	0,061427889	251686				
275,3118774	0,086636864	0,059468179	251723				
275,5800146	0,09136461	0,053990382	251759				
275,8594818	0,091932115	0,060019182	251795				
276,1371614	0,080253263	0,061585445	251836				
276,4237515	0,091853994	0,057989596	251872				
276,6971031	0,084609488	0,060870629	251913				
276,9702726	0,082460027	0,063375171	251950				
277,2460364	0,083820681	0,065674829	251991				
277,5280732	0,089191801	0,06364448	252027				
277,8001099	0,083094507	0,063753679	252064				
278,1022177	0,088287614	0,0790754	252104				
278,374508	0,089283298	0,061051684	252144				
278,6453988	0,084215824	0,058301707	252180				
278,9320799	0,088244332	0,067556313	252221				
279,2053169	0,083528018	0,057070206	252261				
279,4791433	0,087015297	0,057590399	252301				
279,7403863	0,083266761	0,053260617	252341				
280,010618	0,085077419	0,054749141	252377				
280,2993733	0,096787219	0,062397498	252413				
280,5643003	0,07944533	0,0607061	252450				
280,854486	0,085791062	0,073826839	252491				
281,1293993	0,082178917	0,062533259	252531				
281,4108812	0,088070766	0,067491276	252571				
281,6842439	0,081844404	0,063301176	252607				
281,9583504	0,086741468	0,059627625	252644				
282,237632	0,083724486	0,067042476	252681				
282,5192247	0,087739234	0,068421248	252722				
282,7861131	0,084003118	0,056695625	252763				
283,0546674	0,082926129	0,058514434	252800				
283,3173552	0,081372045	0,054848255	252836				
283,5854324	0,081429718	0,060980147	252873				
283,8643418	0,085190991	0,064913961	252914				
284,1384015	0,08501494	0,064906837	252950				
284,4142276	0,084217573	0,067261514	252991				
284,6835436	0,08070274	0,058717393	253028				
284,9856036	0,099376533	0,078642177	253068				
285,2597478	0,082467101	0,066216478	253108				
285,534586	0,082099742	0,067315221	253148				
285,8033	0,082091416	0,061018945	253184				
286,07889	0,082611684	0,059847357	253220				
286,3430701	0,083316048	0,058188515	253260				
286,6058177	0,081597883	0,056374693	253296				
286,8899086	0,09634483	0,062897715	253337				
287,1720304	0,089872425	0,06147886	253374				
287,4414552	0,083778377	0,056694113	253410				
287,7086612	0,081895074	0,058726892	253447				
288,0023709	0,083663764	0,063599464	253484				
288,2773427	0,085206792	0,061049985	253524				
288,5458235	0,082198992	0,060289056	253564				
288,8193551	0,081252756	0,065745905	253601				
289,1090646	0,094602425	0,061456418	253641				
289,3770557	0,081058903	0,061841765	253677				
289,6451079	0,080411974	0,061318505	253714				
289,9124441	0,083110295	0,056901158	253751				
290,1967686	0,081678612	0,053287956	253788				
290,4695643	0,086031345	0,061108554	253824				
290,7415497	0,081143095	0,065858526	253864				
291,0296157	0,082838621	0,058614185	253904				
291,3059177	0,085513907	0,062677975	253945				
291,5705559	0,081880582	0,057577097	253981				
291,8539388	0,093070314	0,063380301	254017				
292,1294805	0,086136879	0,060354421	254057				
292,4025059	0,080451991	0,064443487	254093				
292,6716053	0,079430549	0,062311171	254134				
292,9282598	0,081652043	0,052120762	254170				
293,1952301	0,080462701	0,059278219	254207				
293,4736076	0,097319389	0,05555148	254243				
293,7343656	0,082104501	0,052290129	254279				
294,0076138	0,085121818	0,052336177	254315				
294,2702993	0,082353693	0,054611661	254355				
294,5422773	0,086863031	0,054898445	254396				
