Discovery and Parsing time	Parsing time	Ontology instantiation time	Triples numbers	Sensors	Total discovery time
90,86857327	0,205840099	0,102586429	13137	209	0,371593937
91,2401672	0,21939661	0,096368041	13185	210	0,363327834
91,60349504	0,207380232	0,102760413	13233	211	0,372725832
91,97622087	0,208329301	0,104172973	13277	212	0,400121109
92,37634198	0,223970412	0,115802892	13325	213	0,372678033
92,74902001	0,20640284	0,112717645	13373	214	0,414722273
93,16374228	0,208277081	0,101934975	13421	215	0,382633809
93,54637609	0,219970112	0,107002848	13469	216	0,369642933
93,91601902	0,211986804	0,101426243	13517	217	0,364628579
94,2806476	0,207976162	0,102293279	13562	218	0,440933866
94,72158147	0,24206644	0,142743295	13625	219	0,357118373
95,07869984	0,203816306	0,099918694	13669	220	0,37283711
95,45153695	0,213278699	0,103684491	13713	221	0,443701824
95,89523878	0,224058613	0,136680269	13777	222	0,39450434
96,28974312	0,206877608	0,131205624	13836	223	0,859506657
97,14924977	0,704643021	0,098132387	13880	224	0,425364545
97,57461432	0,262805247	0,102214672	13928	225	0,390132239
97,96474656	0,231601782	0,103732521	13976	226	0,388691202
98,35343776	0,23642766	0,099604572	14021	227	0,389967426
98,74340519	0,226038333	0,107320451	14069	228	0,428546341
99,17195153	0,244560294	0,101165757	14113	229	0,382517596
99,55446912	0,224292447	0,101866211	14161	230	0,429595487
99,98406461	0,26695824	0,109018393	14209	231	0,392158553
100,3762232	0,22934059	0,107957739	14257	232	0,403530618
100,7797538	0,24009125	0,106992138	14305	233	0,384905893
101,1646597	0,22602727	0,10197333	14349	234	0,395691376
101,560351	0,233862804	0,106047818	14393	235	0,495322159
102,0556732	0,263702779	0,173742606	14434	236	0,383956729
102,4396299	0,230878204	0,097815663	14482	237	0,384115406
102,8237453	0,225196164	0,103117335	14530	238	0,394500254
103,2182456	0,222514515	0,111586873	14578	239	0,40762142
103,625867	0,241951236	0,109632417	14626	240	0,39762914
104,0234962	0,224166369	0,115258135	14670	241	0,382188263
104,4056844	0,221434401	0,103599069	14718	242	0,327882109
104,7335665	0,176988166	0,10258209	14762	243	0,450587381
105,1841539	0,267814419	0,100572516	14810	244	0,38378081
105,5679347	0,221972399	0,103926926	14855	245	0,376340669
105,9442754	0,221909022	0,098822484	14899	246	0,415725782
106,3600012	0,262775123	0,09749059	14947	247	0,395920692
106,7559219	0,231742201	0,107169671	14992	248	0,393024759
107,1489466	0,226008601	0,111178444	15037	249	0,396212694
107,5451593	0,228943668	0,107333648	15086	250	0,457212296
108,0023716	0,231680985	0,16448664	15149	251	0,458526699
108,4608983	0,220618716	0,147675519	15193	252	0,381942196
108,8428405	0,220674633	0,103709186	15238	253	0,422200511
109,265041	0,257765959	0,108502995	15282	254	0,381941517
109,6469825	0,215344791	0,109846383	15326	255	0,400145778
110,0471283	0,224390235	0,119707213	15374	256	0,391209629
110,4383379	0,220993617	0,10782812	15418	257	0,460395109
110,8987331	0,290870369	0,109321577	15466	258	0,393240001
111,2919731	0,219328749	0,116680843	15514	259	0,427938601
111,7199117	0,223499	0,146378301	15562	260	0,380995114
112,1009068	0,217677347	0,107363861	15607	261	0,376448533
112,4773553	0,220102723	0,098429642	15655	262	0,380696856
112,8580522	0,221654181	0,10201216	15703	263	0,433051125
113,2911033	0,220427551	0,155119498	15770	264	0,399625575
113,6907289	0,224940424	0,113673023	15814	265	0,417132075
114,1078609	0,217826728	0,142176511	15877	266	0,397933334
114,5057943	0,225899849	0,113943683	15925	267	0,407967154
114,9137614	0,219847883	0,132051688	15973	268	0,513989906
115,4277513	0,286290581	0,131915442	16013	269	0,400181114
115,8279324	0,234976994	0,106156226	16061	270	0,384489553
116,212422	0,221410807	0,104985405	16105	271	0,386438517
116,5988605	0,221466012	0,104203742	16153	272	0,403889267
117,0027498	0,236090426	0,109597494	16201	273	0,383934619
117,3866844	0,216112225	0,109787593	16245	274	0,394527844
117,7812122	0,218514181	0,116783825	16293	275	0,357060919
118,1382732	0,198164365	0,102348406	16341	276	0,397455012
118,5357282	0,224614038	0,117252037	16389	277	0,420461149
118,9561893	0,217943938	0,106485057	16434	278	0,413840643
119,37003	0,244534106	0,103422395	16482	279	0,446959474
119,8169894	0,281581619	0,102804188	16530	280	0,381194487
120,1981839	0,218304529	0,103766189	16578	281	0,425979834
120,6241638	0,214742906	0,151252503	16641	282	0,40586122
121,030025	0,233195011	0,113515333	16686	283	0,435037756
121,4650627	0,25925255	0,107393996	16734	284	0,373288407
121,8383511	0,219491705	0,093608791	16778	285	0,247766161
122,0861173	0,090545263	0,119723044	16826	286	0,226356395
122,3124737	0,091561166	0,097182464	16874	287	0,229151838
122,5416255	0,095896326	0,096606118	16918	288	0,247976755
122,7896023	0,099206862	0,1089236	16966	289	0,424663637
123,2142659	0,240828276	0,12248741	17018	290	0,460565799
123,6748317	0,283421838	0,11878893	17066	291	0,415672316
124,090504	0,218852822	0,141029976	17129	292	0,379372199
124,4698762	0,212458318	0,104668006	17174	293	0,391969174
124,8618454	0,212642707	0,122982219	17222	294	0,369337486
125,2311829	0,210558137	0,101760524	17270	295	0,38724092
125,6184238	0,214004093	0,112287351	17310	296	0,38201293
126,0004368	0,214736134	0,107479058	17358	297	0,385105913
126,3855427	0,212478921	0,114006712	17406	298	0,385772348
126,771315	0,21075286	0,11564051	17454	299	0,381001307
127,1523163	0,209085949	0,114417267	17502	300	0,379552102
127,5318684	0,212139964	0,107753802	17550	301	0,480388301
128,0122567	0,288367135	0,10713829	17594	302	0,380262683
128,3925194	0,216958755	0,101546518	17638	303	0,386379129
128,7788985	0,212961779	0,113794994	17686	304	0,373988603
129,1528871	0,207293688	0,107001674	17727	305	0,378340277
129,5312274	0,213913086	0,101972412	17775	306	0,415867329
129,9470947	0,241788952	0,114428067	17823	307	0,38700749
130,3341022	0,210036336	0,115657041	17868	308	0,371452297
130,7055545	0,208755469	0,102739817	17913	309	0,415289225
131,1208438	0,212922413	0,104583406	17961	310	0,392640841
131,5134846	0,218497975	0,112495377	18010	311	0,377577311
131,8910619	0,213120569	0,103872441	18058	312	0,419752774
132,3108147	0,258485623	0,10121363	18106	313	0,388983161
132,6997978	0,22156607	0,108614648	18154	314	0,399246453
133,0990443	0,207333729	0,132670526	18199	315	0,387571221
133,4866155	0,212677871	0,109961628	18243	316	0,420110084
133,9067256	0,210551429	0,107771569	18287	317	0,342312671
134,2490383	0,206043885	0,067672602	18335	318	0,34354223
134,5925805	0,21302251	0,081829745	18383	319	0,398009894
134,9905904	0,210228657	0,117602264	18431	320	0,380111633
135,370702	0,205030108	0,109497046	18476	321	0,391252674
135,7619547	0,21671657	0,107531093	18524	322	0,390193384
136,1521481	0,209890182	0,115145153	18564	323	0,501098809
136,6532469	0,281762714	0,113917985	18612	324	0,42102729
137,0742742	0,23750101	0,123052397	18656	325	0,382448477
137,4567227	0,206835332	0,117037702	18704	326	0,376181592
